Sensor,Temperatura_C,Humedad_pct,Tipo_Esperado
S1,10.2,20.5,Frio/Seco
S2,9.8,19.1,Frio/Seco
S3,11.1,21.0,Frio/Seco
S4,35.5,80.2,Calido/Humedo
S5,34.1,78.5,Calido/Humedo
S6,36.8,81.3,Calido/Humedo
S7,22.4,50.1,Templado
S8,21.9,49.5,Templado
S9,23.2,51.8,Templado
S10,50.0,10.0,ANOMALIA
S11,0.0,95.0,ANOMALIA
S12,10.5,19.8,Frio/Seco
S13,35.0,79.0,Calido/Humedo
S14,22.0,50.5,Templado
S15,36.0,82.0,Calido/Humedo
S16,9.0,20.2,Frio/Seco
S17,11.5,22.1,Frio/Seco
S18,21.0,48.9,Templado
S19,60.0,60.0,ANOMALIA
S20,-5.0,30.0,ANOMALIA
