,time,carrera,acepta,positivo,negativo,edad,sexo,trabajo
0,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,,Hombre,Eventual
1,08/11/2020,Psicología,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,26,Hombre,Eventual
2,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",20,Mujer,Sí
3,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,18,Mujer,No
4,08/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,39,Hombre,Sí
5,08/11/2020,Ciencias de la Educación,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
6,08/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",18,Hombre,Eventual
7,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
8,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Sí
9,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,25,Hombre,Sí
10,08/11/2020,Psicología,Si,Horario flexible.,Conexión a internet.,32,Hombre,Eventual
11,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
12,08/11/2020,Ciencias Físicas y Energías Alternativas,Si,Horario flexible.,Conexión a internet.,25,Hombre,Sí
14,08/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,22,Mujer,Sí
16,08/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,19,Mujer,Sí
17,08/11/2020,Ciencias de la Educación,No,Acceso desde cualquier lugar.,Conexión a internet.,19,Mujer,No
18,08/11/2020,Administración de Empresas,Si,Horario flexible.,Conexión a internet.,24,Hombre,Eventual
19,08/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,28,Mujer,Eventual
20,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,32,Mujer,Sí
21,09/11/2020,Historia,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,20,Hombre,Eventual
22,09/11/2020,Trabajo Social,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,30,Mujer,Sí
23,09/11/2020,Artes Plásticas,Si,Horario flexible.,Conexión a internet.,20,Hombre,Eventual
24,09/11/2020,Lingüística e Idiomas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,35,Hombre,Sí
25,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,34,Mujer,Sí
26,09/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,34,Mujer,Sí
27,09/11/2020,Ciencias de la Educación,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,46,Hombre,Sí
29,09/11/2020,Administración de Empresas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,29,Hombre,Sí
30,09/11/2020,Contaduría Pública,Si,Horario flexible.,Conexión a internet.,36,Hombre,Sí
31,09/11/2020,Lingüística e Idiomas,Si,Autonomía.,Conexión a internet.,30,Hombre,Sí
32,09/11/2020,Derecho,Si,Horario flexible.,Conexión a internet.,33,Mujer,Sí
33,09/11/2020,Economía,Si,Horario flexible.,Conexión a internet.,24,Mujer,Eventual
34,09/11/2020,Economía,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,24,Mujer,Sí
36,09/11/2020,Derecho,No,Autonomía.,Contacto Personal Docente-Estudiantil.,25,Hombre,No
38,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,45,Hombre,Sí
39,09/11/2020,Otra,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,23,Mujer,Sí
41,09/11/2020,Otra,No,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",19,Hombre,Eventual
42,09/11/2020,Otra,Si,Autonomía.,Conexión a internet.,30,Hombre,Eventual
43,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,39,Hombre,Sí
44,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,22,Hombre,Eventual
46,09/11/2020,Gestión Turística y Hotelera,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,29,Hombre,Sí
47,09/11/2020,Psicología,Si,Acceso desde cualquier lugar.,"Falta de recursos de calidad(plataformas, docentes).",30,Mujer,Sí
48,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,33,Hombre,Eventual
49,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
50,09/11/2020,Ciencias Físicas y Energías Alternativas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
51,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Mujer,No
52,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,19,Hombre,Eventual
54,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,26,Hombre,Sí
55,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,21,Hombre,Eventual
56,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
57,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,"Falta de recursos de calidad(plataformas, docentes).",35,Hombre,Sí
58,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Contacto Personal Docente-Estudiantil.,22,Mujer,Sí
59,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,27,Hombre,Sí
60,09/11/2020,Ingeniería de Sistemas,Si,Acceso desde cualquier lugar.,Conexión a internet.,20,Hombre,No
61,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,33,Hombre,Sí
62,09/11/2020,Ingeniería Agronómica,Si,Horario flexible.,Conexión a internet.,23,Mujer,No
63,09/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,45,Hombre,Sí
64,09/11/2020,Ingeniería de Sistemas,Si,Autonomía.,Conexión a internet.,26,Hombre,Eventual
65,09/11/2020,Contaduría Pública,Si,Acceso desde cualquier lugar.,Conexión a internet.,25,Mujer,Sí
67,09/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,21,Hombre,Sí
68,09/11/2020,Otra,Si,Autonomía.,Conexión a internet.,30,Hombre,Sí
69,10/11/2020,Ingeniería de Sistemas,Si,Horario flexible.,Conexión a internet.,32,Hombre,Sí
70,10/11/2020,Derecho,Si,Horario flexible.,Contacto Personal Docente-Estudiantil.,28,Hombre,Sí
71,10/11/2020,Derecho,Si,Acceso desde cualquier lugar.,Conexión a internet.,33,Hombre,Sí
